"filename", "language", "XML", "C#", "C++", "HTML", "ASP.NET Razor", "JSON", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\RatingDto.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\ResetPasswordModelDto.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\TicketCheckDto.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\TicketDto.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\CinemaApp\UserDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\Extensions\ServiceCollectionExtensions.cs", "C#", 0, 54, 0, 0, 0, 0, 0, 0, 0, 8, 62
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Application\Mappings\CinemaAppMappingProfile.cs", "C#", 0, 78, 0, 0, 0, 0, 0, 0, 0, 15, 93
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain.Tests\CinemaApp.Domain.Tests.csproj", "XML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain.Tests\Entities\MovieTests.cs", "C#", 0, 44, 0, 0, 0, 0, 0, 0, 12, 12, 68
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\CinemaApp.Domain.csproj", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\AgeRating.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\EmailSettings.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\ForgotPasswordModel.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\Hall.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\Movie.cs", "C#", 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\MovieShow.cs", "C#", 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\Payment.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\PriceList.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\Rating.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\Seat.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\StripeSettings.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\Ticket.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Entities\User.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Interfaces\IAgeRatingRepository.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Interfaces\IHallRepository.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Interfaces\IIdentityRepository.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Interfaces\IMovieRepository.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Pioter\Desktop\CinemaApp\CinemaApp\CinemaApp.Domain\Interfaces\IMovieShowRepository.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
